"id","homeTeamId","awayTeamId","homeScore","awayScore","date","status","venue","season"
"1","1","2",98,92,"2026-02-15","Final","Mutare Sports Centre","2026"
"2","3","4",85,89,"2026-02-15","Final","Rusape Recreation Centre","2026"
"3","5","6",102,96,"2026-02-16","Final","Chimanimani Sports Hall","2026"
"4","7","8",78,84,"2026-02-16","Final","Headlands Sports Ground","2026"
"5","2","3",56,78,"2026-02-20","Final","Chipinge Community Hall","2026"
"6","1","5",67,56,"2026-02-21","Final","Mutare Sports Centre","2026"
"7","4","6",,,"2026-02-22","Scheduled","Nyanga Indoor Arena","2026"
"8","8","7",,,"2026-02-23","Scheduled","Odzi Community Centre","2026"
"9","1","3",,,"2026-02-25","Scheduled","Mutare Sports Centre","2026"
"10","2","4",,,"2026-02-26","Scheduled","Chipinge Community Hall","2026"
