"id","name","teamId","position","number","height","weight","age","ppg","rpg","apg"
"1","Tinashe Mukwende","1","PG",1,"6'2""","185 lbs",24,22.5,4.2,8.1
"2","Tatenda Chisango","1","SG",3,"6'4""","195 lbs",22,18.3,3.8,3.5
"3","Kudzai Mapfumo","1","SF",7,"6'7""","215 lbs",26,15.7,7.1,2.9
"4","Simbarashe Dube","2","PF",32,"6'8""","230 lbs",27,20.1,9.4,2.1
"5","Farai Chitura","2","C",15,"6'10""","245 lbs",25,16.8,11.2,1.5
"6","Tawanda Nyamupingidza","3","PG",11,"6'1""","178 lbs",23,19.4,3.5,7.8
"7","Brighton Marondera","3","SF",22,"6'6""","210 lbs",28,17.2,6.3,3.1
"8","Mufudzi Katsande","4","SG",5,"6'3""","190 lbs",21,21,4,5.2
"9","Takudzwa Mhandu","4","PF",44,"6'9""","235 lbs",26,14.5,8.8,1.8
"10","Wellington Sithole","5","C",50,"7'0""","260 lbs",29,13.9,12.1,1.2
"11","Prosper Gatsi","5","PG",2,"5'11""","170 lbs",20,16.1,2.9,9.3
"12","Gift Muzambi","6","SG",8,"6'5""","200 lbs",24,19.8,5.1,4
"13","Tanaka Chidyausiku","6","SF",14,"6'7""","218 lbs",25,14,6.7,2.5
"14","Munyaradzi Hove","7","PF",21,"6'8""","225 lbs",23,12.5,7.9,1.6
"15","Tinotenda Chirume","7","PG",10,"6'0""","175 lbs",22,15.3,3.2,6.8
"16","Last Jongwe","8","C",55,"6'11""","250 lbs",27,11.7,10.5,1
"w1p1","Betty Mutare","w1","PG",1,"5'8""","145 lbs",22,18.5,3.5,7.2
"w1p2","Grace Mujuru","w1","SG",3,"5'10""","155 lbs",21,15.2,4.1,3.8
"w1p3","Miriam Chikore","w1","SF",7,"5'11""","160 lbs",24,12.8,6.5,2.5
"w2p1","Precious Chipinge","w2","PG",1,"5'9""","150 lbs",23,20.1,4.2,8.5
"w2p2","Tasha Chipinge","w2","SG",5,"5'7""","140 lbs",20,14.6,3,4.2
"w2p3","Rudo Chipinge","w2","PF",12,"6'0""","170 lbs",25,11.5,8.3,1.8
"w3p1","Faith Nyanga","w3","PG",1,"5'6""","135 lbs",21,16.8,3.2,6.9
"w3p2","Beauty Nyanga","w3","SG",8,"5'8""","145 lbs",22,13.4,3.8,3.5
"w3p3","Esther Nyanga","w3","C",33,"6'2""","190 lbs",26,10.2,12.1,1.2
"w4p1","Gladys Rusape","w4","PG",1,"5'7""","140 lbs",20,14.2,2.8,5.6
"w4p2","Noma Rusape","w4","SF",15,"5'10""","160 lbs",23,11.6,5.4,2.9
"w5p1","Esther Dangamvura","w5","PG",1,"5'6""","135 lbs",19,12.5,2.5,6.8
"w5p2","Tariro Dangamvura","w5","C",21,"6'1""","185 lbs",24,9.8,10.2,1.5
